,docs,target,docs_clean,target_name,projected_topic
139,"In article <1993Apr19.131102.7843@rchland.ibm.com> 
xzz0280@rchland.vnet.ibm.com (R. J. Traff) writes:
>|> In article <C5MuIw.AqC@mailer.cc.fsu.edu> 
>|> dlecoint@garnet.acns.fsu.edu (Darius_Lecointe) writes:
>|> >question is ""On what authority do we proclaim that the requirements of the
>|>               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
>|> >fourth commandment are no longer relevant to modern Christians?""  Please
>|> ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
>I don't believe most Christians believe they are *above* the Law.  However,
>we are not saved by adherence to the Law.  The Law exists to tell us what
>is sinful.  We all sin.

Hence we are ""all"" above the Law where ""all"" in this case refers to
Christians.

>Jews believe that their sins are atoned for with
>blood sacrifice of animals as described in the Old Testament.

When was the last time you heard about a Jewish animal sacrifice?

>Christians 
>believe that their sins are atoned for by the blood sacrifice of Jesus.

The blood sacrifice of an innocent man?

>This does not make the Law 'irrelevant'.

Then why don't Christians follow it, why don't they even follow their
own Ten Commandments?

>Breaking the Law *is* sinful,
>and we are to avoid sinful ways, but sinning, by itself, does not jeopardize
>salvation.

So, in short; Hitler is in heaven and Gandhi is in Hell?

>Note that I'm not a theologian.  But this is the gist of several
>sermons I've heard lately and some Bible studies I've been through.  ",19,article apr rchland ibm com xzz rchland vnet ibm com traff writes article muiw aqc mailer fsu edu dlecoint garnet acns fsu edu darius lecointe writes question authority proclaim requirement fourth commandment longer relevant modern christian please believe christian believe law however saved adherence law law exists tell sinful sin hence law case refers christian jew believe sin atoned blood sacrifice animal described old testament last time heard jewish animal sacrifice christian believe sin atoned blood sacrifice jesus blood sacrifice innocent man make law irrelevant christian follow even follow ten commandment breaking law sinful avoid sinful way sinning jeopardize salvation short hitler heaven gandhi hell note theologian gist several sermon heard lately bible study,talk.religion.misc,religion
140,">>>>> On 5 May 93 06:51:23 GMT, shellgate!llo@uu4.psi.com (Larry L. Overacker) said:

> In article <Apr.30.03.11.27.1993.10101@geneva.rutgers.edu> FSSPR@acad3.alaska.edu (Hardcore Alaskan) writes:
>>
>>I hope that anyone who remembers seeing Rev. Troy Perry's
>>""performance"" at the 1987 March On Washington will see for themselves
>>just how inconceivable it is to mix Christianity with homosexuality.

> Whether or not Christianity and homosexuality are compatible is clearly
> debatable, since it IS being debated.  In my opnion, it is genuinely
> destuctive to the cause of Christianity to use this sort of ad hominem
> argument to oppose one's adversaries.  It only serves to further drive
> people away from Christianity because it projects and confirms the
> frequently held opinion that Christians are unable to think critically
> and intelligently. 

I agree entirely.  Speaking as an atheist (heterosexual, for what it's
worth), this is one of the least attractive parts of some varieties of
Christianity.  Although I'm sure it's possible to argue theologically
that we shouldn't make analogies between discrimination on the basis
of sex and race and discrimination on the basis of sexual orientation,
morally the case looks unanswerable (for those outside religion): the
three forms _are_ analogous; we shouldn't discriminate on the basis of
sex, race or sexual orientation.

I found the moderator's FAQs on the subject instructive, and recommend
everyone to read them.

There seem to be three different levels of acceptance:

1) Regard homosexual orientation as a sin (or evil, whatever)
2) Regard homosexual behaviour as a sin, but accept orientation
(though presumably orientation is unfortunate) and dislike people who
indulge
3) As 2, but ""love the sinner""
4) Accept homosexuality altogether.

My experience is that 3 is the most common attitude (I imagine 1 and 2
are limited to a few fundamentalist sects).

I suppose I can go along with 3, except that I have this feeling that
a 14--15 year old living in a community with this attitude, on
discovering that they were more attracted to members of the same sex,
would not feel the love of the community, but would rather feel the
pressure not to exhibit their feelings.  I'm not saying that the
community (in particular the parents) would not love the child, but I
suspect the child would not feel loved.",15,may gmt shellgate llo psi com larry overacker said article apr geneva rutgers edu fsspr acad alaska edu hardcore alaskan writes hope anyone remembers seeing rev troy perry performance march washington see inconceivable mix christianity homosexuality whether christianity homosexuality compatible clearly debatable since debated opnion genuinely destuctive cause christianity use sort hominem argument oppose one adversary serf drive people away christianity project confirms frequently held opinion christian unable think critically intelligently agree entirely speaking atheist heterosexual worth one least attractive part variety christianity although sure possible argue theologically make analogy discrimination basis sex race discrimination basis sexual orientation morally case look unanswerable outside religion three form analogous discriminate basis sex race sexual orientation found moderator faq subject instructive recommend everyone read seem three different level acceptance regard homosexual orientation sin evil whatever regard homosexual behaviour sin accept orientation though presumably orientation unfortunate dislike people indulge love sinner accept homosexuality altogether experience common attitude imagine limited fundamentalist sect suppose along except feeling year old living community attitude discovering attracted member sex would feel love community would rather feel pressure exhibit feeling saying community particular parent would love child suspect child would feel loved,soc.religion.christian,religion
141,"I am looking for an algorithm to determine if a given point is bound by a 
polygon. Does anyone have any such code or a reference to book containing
information on the subject ?

		Regards",1,looking algorithm determine given point bound polygon anyone code reference book containing information subject regard,comp.graphics,computers
142,"henry@zoo.toronto.edu (Henry Spencer) writes:

> The first flight will be a low hover that will demonstrate a vertical
> landing.  There will be no payload.  DC-X will never carry any kind

Exactly when will the hover test be done, and will any of the TV
networks carry it.  I really want to see that...
",14,henry zoo toronto edu henry spencer writes first flight low hover demonstrate vertical landing payload never carry kind exactly hover test done network carry really want see,sci.space,vehicles
143,"
   The God of peace will soon crush Satan under your feet. 
    The grace of our Lord Jesus be with you. 
Romans 16:20
",15,god peace soon crush satan foot grace lord jesus roman,soc.religion.christian,religion
144,"In regards to fractal commpression, I have seen 2 fractal compressed ""movies"".
They were both fairly impressive.  The first one was a 64 gray scale ""movie"" of
Casablanca, it was 1.3MB and had 11 minutes of 13 fps video.  It was a little
grainy but not bad at all.  The second one I saw was only 3 minutes but it
had 8 bit color with 10fps and measured in at 1.2MB.

I consider the fractal movies a practical thing to explore.  But unlike many 
other formats out there, you do end up losing resolution.  I don't know what
kind of software/hardware was used for creating the ""movies"" I saw but the guy
that showed them to me said it took 5-15 minutes per frame to generate.  But as
I said above playback was 10 or more frames per second.  And how else could you
put 11 minutes on one floppy disk?",1,regard fractal commpression seen fractal compressed movie fairly impressive first one gray scale movie casablanca minute fps video little grainy bad second one saw minute bit color fps measured consider fractal movie practical thing explore unlike many format end losing resolution know kind software hardware used creating movie saw guy showed said took minute per frame generate said playback frame per second else could put minute one floppy disk,comp.graphics,computers
145," and  A VGA monitor..
e-mail
",6,vga monitor mail,misc.forsale,computers
146,"Hi,

I have a problem when using subscripts with MSWord.  The
problem is the subscripted characters get cut off on the display,
but print out ok.  Anyone know how to fix the subscripts so
I can see them on the screen?

Many thanks,",2,problem using subscript msword problem subscripted character get cut display print anyone know fix subscript see screen many thanks,comp.os.ms-windows.misc,computers
147,"I3150101@dbstu1.rz.tu-bs.de (Benedikt Rosenau) writes:

> In article <ii1i2B1w165w@mantis.co.uk>
> Tony Lezard <tony@mantis.co.uk> writes:
>  
> (Deletion)
> >
> >My opinion is that the strong atheist position requires too much
> >belief for me to be comfortable with. Any strong atheists out there
> >care to comment? 
>[...]
> Humans just come up with the idea of a spiritual parent. It is one
> of the artifacts of human thought. The evidence for that is quite
> overwhelming. And the information content of the conceived is vanishing.
>  
> In other words, if there were gods, they would hardly make sense, and
> it is possible to explain the phenomenon of religion without gods.
>  
> The concept is useless, and I don't have to introduce new assumptions
> in order to show that.
>  
> No leap of faith required for me. Your mileage may vary.

Yes I fully agree with that, but is it ""I don't believe gods exist"", or
""I believe no gods exist""? As MANDTBACKA@FINABO.ABO.FI (Mats Andtbacka)
pointed out, it all hinges on what you take the word ""believe"" to mean.

Unfortunately this is bound up in the definitions of strong and weak
atheism, at least according to the FAQ:

# Atheism is characterized by an absence of belief in the existence of God.
# Some atheists go further, and believe that God does not exist.  The former is
# often referred to as the ""weak atheist"" position, and the latter as ""strong
# atheism"".
# 
# It is important to note the difference between these two positions.  ""Weak
# atheism"" is simple scepticism; disbelief in the existence of God.  ""Strong
# atheism"" is a positive belief that God does not exist.  Please do not
# fall into the trap of assuming that all atheists are ""strong atheists"".

(From mathew's ""An Introduction to Atheism"" version 1.2 last modified 5-Apr-93)

Should the FAQ be clarified to try to pin down this notion of ""belief""?
Can it?
",0,dbstu benedikt rosenau writes article mantis tony lezard tony mantis writes deletion opinion strong atheist position requires much belief comfortable strong atheist care comment human come idea spiritual parent one artifact human thought evidence quite overwhelming information content conceived vanishing word god would hardly make sense possible explain phenomenon religion without god concept useless introduce new assumption order show leap faith required mileage may vary yes fully agree believe god exist believe god exist mandtbacka finabo abo mat andtbacka pointed hinge take word believe mean unfortunately bound definition strong weak atheism least according faq atheism characterized absence belief existence god atheist believe god exist former often referred weak atheist position latter strong atheism important note difference two position weak atheism simple scepticism disbelief existence god strong atheism positive belief god exist please fall trap assuming atheist strong atheist mathew introduction atheism version last modified apr faq clarified try pin notion belief,alt.atheism,religion
148,"See subject. An opportunity for sales-people (-persons? -entities?).

I am looking for a commercial/PD graphics editor with fairly limited
abilities that runs under X and preferably uses Motif widgets. It must
run on HP-UX version 9, either with or without the PEX extension. The
sort of things I want are simple drawing, resizing and moving of objects
such as lines, rectangles and text. Bounding rectangle operations are
sufficient for object selection. Ideally it should also allow the
creation and placement of more complex objects such as widgets (e.g.
text entry fields or labels), but this is not mandatory.

Does anyone have such an animal? If you do, please mail me with details
including price (especially run-time licensing since it must be
included in a product). Alternatively, send glossies to me at Logica,
68 Newman Street, London W1, including technical info please. For PD
stuff, I have some effort that could be put into porting.

Thanks for any help,
Nicholas Young.",5,see subject opportunity sale people person entity looking commercial graphic editor fairly limited ability run preferably us motif widget must run version either without pex extension sort thing want simple drawing resizing moving object line rectangle text bounding rectangle operation sufficient object selection ideally also allow creation placement complex object widget text entry field label mandatory anyone animal please mail detail including price especially run time licensing since must included product alternatively send glossy logica newman street london including technical info please stuff effort could put porting thanks help nicholas young,comp.windows.x,computers
149,"If you're thinking of reactive polymers they're making ESD safe
contauiners out of it. As far as being conductive goes anything with
a resistance less than 10 to the fouthrth power ohms per cubic measure
is classed as conductive per MIL-STD-1686 for ESD protection. My $0.02
($0.016 US).",12,thinking reactive polymer making esd safe contau iners far conductive go anything resistance le fouth rth power ohm per cubic measure classed conductive per mil std esd protection,sci.electronics,classifieds
150,"I have a modest system of aliases/macros that enables me to download
mail from a public access UNIX system to my MS-DOS box. I read and reply
to the mail with a MS Windows 3.1 based editor.

Everything works peachey keen as long as the author of the message has
maintained his text at 80 col. max. width. Sometimes I get slightly wider
messages that run off-screen, so I have to use the cursor/slider to read
the whole thing.

I'm using NDW Deskedit mainly, but I've experienced the same prob with
all other MS WIndows editors. I've fiddled with word wrap settings in
the various editors, but to no avail. I know I'm missing something very
basic in editor setup, but what is it?

Oh yeah, MS Word for Windows converts everything flawlessly but for what
I'm looking for that's like using a tank to crack walnuts.

I'd really like to have an editor setup that would display all incoming
ASCII files in a readable format to my screen.

Thanks in advance,",2,modest system alias macro enables download mail public access unix system do box read reply mail window based editor everything work peachey keen long author message maintained text col max width sometimes get slightly wider message run screen use cursor slider read whole thing using ndw deskedit mainly experienced prob window editor fiddled word wrap setting various editor avail know missing something basic editor setup yeah word window convert everything flawlessly looking like using tank crack walnut really like editor setup would display incoming ascii file readable format screen thanks advance,comp.os.ms-windows.misc,classifieds
151,"In article <1qlf7gINN8sn@gap.caltech.edu>, keith@cco.caltech.edu (Keith
Allan Schneider) wrote:
> Which type of morality are you talking about?  In a natural sense, it
> is not at all immoral to harm another species (as long as it doesn't
> adversely affect your own, I guess).

Hehehe, so you say, but this objective morality somehere tells you 
that this is not the case, and you don't know all the rules of such
transcendental game systems...

Cheers,
Kent",0,article qlf ginn gap caltech edu keith cco caltech edu keith allan schneider wrote type morality talking natural sense immoral harm another specie long adversely affect guess hehehe say objective morality somehere tell case know rule transcendental game system cheer kent,alt.atheism,politics
152,"In article <kingoz.735066879@camelot>
kingoz@camelot.bradley.edu (Orin Roth) writes:
 
>
>   Well, officially it's the Braves. At least up until they started winning
>   it was. Are they still, officially?
>   If so, why? and how did they receive this label?
>
>   Unoffically, but without a doubt, America's Team is the Cubs. Why?
>   Orin.
>   Bradley U>
>
>
>
>--
>I'm really a jester in disguise!
 
Sorry, but I saw a survey somewhere that showed that America's favorite
team is the Damn Yankees. So much for the underdogs being loved.",9,article kingoz camelot kingoz camelot bradley edu orin roth writes well officially brave least started winning still officially receive label unoffically without doubt america team cub orin bradley really jester disguise sorry saw survey somewhere showed america favorite team damn yankee much underdog loved,rec.sport.baseball,sports
153,"Petri and Mathew,

Your discusion on the ""reality"" of atoms is interesting, but it
would seem that you are verging on the question ""Is anything real"":
that is, since observation is not 100% reliable, how can we say
that anything is ""real"".  I don't think this was the intention
of the original question, since you now define-out the word
""real"" so that nothing can meet its criteria.
Just a thought.

Brian /-|-\",19,petri mathew discusion reality atom interesting would seem verging question anything real since observation reliable say anything real think intention original question since define word real nothing meet criterion thought brian,talk.religion.misc,politics
154,"Hello.  I have the following for sale.  Most of the books are
in perfect condition.  If interested please e-mail to chungy2@rpi.edu.

----------------------------------------------------------------------


Through The Telescope (hard cover)				$14.00              
Surface Physics (soft cover)					$13.00

The Physics of Structurally Disordered 
	Matter: An Introduction	(soft cover)			$55.00

Subatomic Physics (hard cover)					$57.00           
A First General Relativity (hard cover)				$20.00                 
Non-Equilibrium Thermodynamics (soft cover)			$8.00 

Advances in Atomic and Molecular Physics.  Vol 1. (hard cover)	$30.00 

Advances in Atomic and Molecular Physics.  Vol 3. (hard cover)	$30.00

Molecular Beams (hard cover)					$15.00

Molecular Beams and Reaction Kinetics. (hard cover)		$20.00 

Perturbation Methods in Applied Mathematics. (hard cover)	$40.00

Elementary Differential Equations and 
	Boundary Value Problems. (hard cover)			$27.00

Vector Mechanics for Engineers: Statics 
	and Dynamics. (hard cover)				$30.00

Free-Electron Lasers. (hard cover)				$20.00",6,hello following sale book perfect condition interested please mail chungy rpi edu telescope hard cover surface physic soft cover physic structurally disordered matter introduction soft cover subatomic physic hard cover first general relativity hard cover non equilibrium thermodynamics soft cover advance atomic molecular physic vol hard cover advance atomic molecular physic vol hard cover molecular beam hard cover molecular beam reaction kinetics hard cover perturbation method applied mathematics hard cover elementary differential equation boundary value problem hard cover vector mechanic engineer static dynamic hard cover free electron laser hard cover,misc.forsale,computers
155,"nhowland@matt.ksu.ksu.edu (Neal Patrick Howland) writes:
>
>From what I understand about radar dectectors all they are is a passive
>device much like the radio in your car.  They work as an antenna picking
>up that radar signals that the radar gun sends out.  Therefore there would
>be no way of detecting a radar detector any more than there would be of
>detecting whether some one had a radio in their car.  
>

Unfortunately, you're wrong on both counts.  The most common method of
implementing a tunable receiver is to have a local oscillator.  The
local oscillator's frequency can be radiated out of the receiver via
the antenna unless the circuit is designed and constructed with great
care.

For a reference on detecting radios, get the paperback book _Spy Catcher_.
The author discovered how to detect radio receivers from their local
oscillator emissions back in the *1950s* while he worked for British
Intelligence.

  -Greg",12,nhowland matt ksu ksu edu neal patrick howland writes understand radar dectectors passive device much like radio car work antenna picking radar signal radar gun sends therefore would way detecting radar detector would detecting whether one radio car unfortunately wrong count common method implementing tunable receiver local oscillator local oscillator frequency radiated receiver via antenna unless circuit designed constructed great care reference detecting radio get paperback book spy catcher author discovered detect radio receiver local oscillator emission back worked british intelligence greg,sci.electronics,computers
156,"For those Leaf fans who are concerned, the following players are slated for
return on Thursday's Winnipeg-Toronto game :
    Peter Zezel, John Cullen

  Mark Osborne and Dave Ellett are questionable to return on Thursday.",10,leaf fan concerned following player slated return thursday winnipeg toronto game peter zezel john cullen mark osborne dave ellett questionable return thursday,rec.sport.hockey,sports
157,"In article <1993Apr5.091139.823@batman.bmd.trw.com>
jbrown@batman.bmd.trw.com writes:
 
>> Didn't you say Lucifer was created with a perfect nature?
>
>Yes.
>
 
Define perfect then.
 
 
>> I think you
>> are playing the usual game here, make sweeping statements like omni-,
>> holy, or perfect, and don't note that they mean exactly what they say.
>> And that says that you must not use this terms when it leads to
>> contradictions.
>
>I'm not trying to play games here.  But I understand how it might seem
>that way especially when one is coming from a completely different point
>of view such as atheism.
>
 
Take your foot out of your mouth, I wondered about that already when I
was a Catholic Christian. The fact that the contradiction is unresolvable
is one of the reasons why I am an atheist.
 
Believe me, I believed similar sentences for a long time. But that shows
the power of religion and not anything about its claims.
 
 
>>>Now God could have prevented Lucifer's fall by taking away his ability
>>>to choose between moral alternatives (worship God or worship himself),
>>>but that would mean that God was in error to have make Lucifer or any
>>>being with free will in the first place.
>>
>> Exactly. God allows evil, an evil if there ever was one.
>>
>
>Now that's an opinion, or at best a premise.  But from my point of view,
>it is not a premise which is necessary true, specifically, that it is
>an evil to allow evil to occur.
>
 
It follows from a definition of evil as ordinarily used. Letting evil
happen or allowing evil to take place, in this place even causing evil,
is another evil.
 
 
>> But could you give a definition of free will? Especially in the
>> presence of an omniscient being?
>>
>""Will"" is ""self-determination"".  In other words, God created conscious
>beings who have the ability to choose between moral choices independently
>of God.  All ""will"", therefore, is ""free will"".
>
 
The omniscient attribute of god will know what the creatures will do even
before the omnipotent has created them. There is no choice left. All is known,
the course of events is fixed.
 
Not even for the omniscient itself, to extend an argument by James Tims.
 
 
>>>If God is omniscient, then
>>>clearly, creating beings with free moral choice is a greater good than
>>>the emergence of ungodliness (evil/sin) since He created them knowing
>>>the outcome in advance.
>>
>> Why is it the greater good to allow evil with the knowledge that it
>> will happen? Why not make a unipolar system with the possibility of
>> doing good or not doing good, but that does not necessarily imply
>> doing evil. It is logically possible, but your god has not done it.
>
>I do not know that such is logically possible.  If God restrains a
>free being's choice to choose to do evil and simply do ""not good"",
>then can it be said that the being truly has a free moral choice?
>And if ""good"" is defined as loving and obeying God, and avoiding
>those behaviors which God prohibits, then how can you say that one
>who is ""not good"" is not evil as well?  Like I said, I am not sure
>that doing ""not good"" without doing evil is logically possible.
 
And when I am not omnipotent, how can I have free will? You have said
something about choices and the scenario gives them. Therefore we have
what you define as free will.
 
Imagine the following. I can do good to other beings, but I cannot harm them.
Easily implemented by making everyone appreciate being the object of good
deeds, but don't make them long for them, so they can not feel the absence
of good as evil.
 
But whose case am I arguing? It is conceivable, so the omnipotent can do it.
Or it would not be omnipotent. If you want logically consistent as well, you
have to give up the pet idea of an omnipotent first.
 
(Deletion)
>
>Perhaps it is weak, in a way.  If I were just speculating about the
>ubiquitous pink unicorns, then there would be no basis for such
>speculation.  But this idea of God didn't just fall on me out of the
>blue :), or while reading science fiction or fantasy.  (I know that
>some will disagree)  :)  The Bible describes a God who is omniscient,
>and nevertheless created beings with free moral choice, from which
>the definitional logic follows.  But that's not all there is to it.
>There seems to be (at least in my mind) a certain amount of evidence
>which indicates that God exists and that the Biblical description
>of Him may be a fair one.  It is that evidence which bolsters the
>argument in my view.
 
That the bible describes an omniscient and omnipotent god destroys
the credibility of the bible, nothing less.",0,article apr batman bmd trw com jbrown batman bmd trw com writes say lucifer created perfect nature yes define perfect think playing usual game make sweeping statement like omni holy perfect note mean exactly say say must use term lead contradiction trying play game understand might seem way especially one coming completely different point view atheism take foot mouth wondered already catholic christian fact contradiction unresolvable one reason atheist believe believed similar sentence long time show power religion anything claim god could prevented lucifer fall taking away ability choose moral alternative worship god worship would mean god error make lucifer free first place exactly god allows evil evil ever one opinion best premise point view premise necessary true specifically evil allow evil occur follows definition evil ordinarily used letting evil happen allowing evil take place place even causing evil another evil could give definition free especially presence omniscient self determination word god created conscious being ability choose moral choice independently god therefore free omniscient attribute god know creature even omnipotent created choice left known course event fixed even omniscient extend argument james tims god omniscient clearly creating being free moral choice greater good emergence ungodliness evil sin since created knowing outcome advance greater good allow evil knowledge happen make unipolar system possibility good good necessarily imply evil logically possible god done know logically possible god restrains free choice choose evil simply good said truly free moral choice good defined loving obeying god avoiding behavior god prohibits say one good evil well like said sure good without evil logically possible omnipotent free said something choice scenario give therefore define free imagine following good being harm easily implemented making everyone appreciate object good deed make long feel absence good evil whose case arguing conceivable omnipotent would omnipotent want logically consistent well give pet idea omnipotent first deletion perhaps weak way speculating ubiquitous pink unicorn would basis speculation idea god fall blue reading science fiction fantasy know disagree bible describes god omniscient nevertheless created being free moral choice definitional logic follows seems least mind certain amount evidence indicates god exists biblical description may fair one evidence bolster argument view bible describes omniscient omnipotent god destroys credibility bible nothing le,alt.atheism,politics
158,"Anyone out there have a Sony 1304S?

I have one, and it's very nice, however - If I run it in 16"" mode, the
picture won't
go very big. I end up with about 1"" gap either side, and .5"" top &
bottom. I suspect
an internal adjustment would fix this. Anyone tried it?

Another problem is sub-brightness: Areas that are meant to be black (or
off the main
raster) are not very black. The real raster is quite visible when the
screen is blanked.
This is not too severe, but it is just not as good as other Trini screens
I have
used. If I turn the brightness/contrast down so that the raster is not
visible, the
real image virtually disappears!

The raster size is just right if I use 1024*768, but 100dpi+ is a bit too
much!

Oh, and I am using a RasterOps 24XLi card.


Thanks

Marcus Bointon
marcus@meridian.demon.co.uk
-------------------------------------------------------
   Marcus Bointon                   Tel 081 852 6662 
   marcus@meridian.demon.co.uk      Fax 081 244 5422
""I used Windows for a week once, but I feel better now""",4,anyone sony one nice however run mode picture big end gap either side top bottom suspect internal adjustment would fix anyone tried another problem sub brightness area meant black main raster black real raster quite visible screen blanked severe good trini screen used turn brightness contrast raster visible real image virtually disappears raster size right use dpi bit much using rasterops xli card thanks marcus bointon marcus meridian demon marcus bointon tel marcus meridian demon fax used window week feel better,comp.sys.mac.hardware,classifieds
159,"In article <1993Apr5.211146.3662@mnemosyne.cs.du.edu> jfurr@nyx.cs.du.edu (Joel Furr) writes:

>I dunno, Warren.  Just the other day I heard a rumor that ""Serdar Argic""
>(aka Hasan Mutlu and Ahmed Cosar and ZUMABOT) is not really a Turk at all,
>but in fact is an Armenian 

1/64th or 63/64th?

I must congratulate your analytical and excellent
reportage about  Diana. From  the writings  of tye
biographers  you  quoted,  I can  perceive,  maybe
chauvinistically,  the  remnants of  her  Armenian
genes. Even  though she  is only  1/64th Armenian,
she   seems   to   have   many   of   the   strong
characteristics  of Armenian  women. Her  Armenian
ancestry is  traced to Eliza Kewark  (an Armenian
from  India), who  married  the Scottish  merchant
Thedore Forbes.  From the union was  born Kathleen
Scott  Forbes,  who  married  James  Crombie  from
Aberdeen. They  had a  daughter Jane,  who married
David  Littlejohn.  Their  daughter  Ruth  married
William Gill. Ruth Silvia Gill, the grandmother of
Lady  Diana,   married  Lord  Fermoy,   and  their
daughter, Frances  Ruth Burke Roache,  married the
eight Earl of Spencer, who  was the father of Lady
Diana. It is noteworthy  that Eliza Kewark was also
referred  to as  Mrs. Forbesian  (a characteristic
Armenian  surname  ending).  An  Armenian-Scottish
gene mix is dynamite.

Levon K. Topuzian
Assistant Professor
Northwestern University
Skoie, Illinois.

TIME, December 21, 1992 'Letters'

>who is attempting to make any discussion of the
>massacres in Armenia of Turks so noise-laden as to make serious discussion
>impossible, thereby cloaking the historical record with a tremendous cloud
>of confusion.  

You have set up straw horses and knocked them down. I'm not impressed.
Anyway, the Armenians tore apart the Ottoman Empire's eastern provinces,
massacred 2.5 million defenseless Turkish women, children and elderly 
people, burned thousands of Turkish and Kurdish villages and exterminated 
the entire Turkish population of the Armenian dictatorship between 
1914-1920. Such outrageous sleight of hand that is still employed today 
in Armenia brings a depth and verification to the Turkish genocide 
that is hard to match. A hundred years ago Armenians again thought 
they could get whatever they wanted through sheer terror like the 
Russian anarchists that they accepted as role models. Several Armenian 
terror groups like ASALA/SDPA/ARF Terrorism and Revisionism Triangle 
resorted to the same tactics in the 1980s, butchering scores of innocent
Turks and their families in the United States and Europe. It seems that 
they are doing it again, at a different scale, in fascist x-Soviet Armenia 
today.


Source: Stanford J. Shaw, on Armenian collaboration with invading Russian
armies in 1914, ""History of the Ottoman Empire and Modern Turkey (Volume
II: Reform, Revolution & Republic: The Rise of Modern Turkey, 1808-1975).""
(London, Cambridge University Press 1977). pp. 315-316.

""In April 1915 Dashnaks from Russian Armenia organized a revolt in the city 
 of Van, whose 33,789 Armenians comprised 42.3 percent of the population, 
 closest to an Armenian majority of any city in the Empire...Leaving Erivan 
 on April 28, 1915, Armenian volunteers reached Van on May 14 and organized 
 and carried out a general slaughter of the local Muslim population during 
 the next two days while the small Ottoman garrison had to retreat to the
 southern side of the lake.""

""Knowing their numbers would never justify their territorial ambitions,
 Armenians looked to Russia and Europe for the fulfillment of their aims.
 Armenian treachery in this regard culminated at the beginning of the First
 World War with the decision of the revolutionary organizations to refuse
 to serve their state, the Ottoman Empire, and to assist instead other
 invading Russian armies. Their hope was their participation in the Russian
 success would be rewarded with an independent Armenian state carved out of
 Ottoman territories. Armenian political leaders, army officers, and common
 soldiers began deserting in droves.""

""With the Russian invasion of eastern Anatolia in 1914 at the beginning of
 World War I, the degree of Armenian collaboration with the Ottoman's enemy
 increased drastically. Ottoman supply lines were cut by guerilla attacks,
 Armenian revolutionaries armed Armenian civil populations, who in turn
 massacred the Muslim population of the province of Van in anticipation of
 expected arrival of the invading Russian armies.""

Serdar Argic",17,article apr mnemosyne edu jfurr nyx edu joel furr writes dunno warren day heard rumor serdar argic aka hasan mutlu ahmed cosar zumabot really turk fact armenian must congratulate analytical excellent reportage diana writing tye biographer quoted perceive maybe chauvinistically remnant armenian gene even though armenian seems many strong characteristic armenian woman armenian ancestry traced eliza kewark armenian india married scottish merchant thedore forbes union born kathleen scott forbes married james crombie aberdeen daughter jane married david littlejohn daughter ruth married william gill ruth silvia gill grandmother lady diana married lord fermoy daughter france ruth burke roache married eight earl spencer father lady diana noteworthy eliza kewark also referred mr forbesian characteristic armenian surname ending armenian scottish gene mix dynamite levon topuzian assistant professor northwestern university skoie illinois time december letter attempting make discussion massacre armenia turk noise laden make serious discussion impossible thereby cloaking historical record tremendous cloud confusion set straw horse knocked impressed anyway armenian tore apart ottoman empire eastern province massacred million defenseless turkish woman child elderly people burned thousand turkish kurdish village exterminated entire turkish population armenian dictatorship outrageous sleight hand still employed today armenia brings depth verification turkish genocide hard match hundred year ago armenian thought could get whatever wanted sheer terror like russian anarchist accepted role model several armenian terror group like asala sdpa arf terrorism revisionism triangle resorted tactic butchering score innocent turk family united state europe seems different scale fascist soviet armenia today source stanford shaw armenian collaboration invading russian army history ottoman empire modern turkey volume reform revolution republic rise modern turkey london cambridge university press april dashnaks russian armenia organized revolt city van whose armenian comprised percent population closest armenian majority city empire leaving erivan april armenian volunteer reached van may organized carried general slaughter local muslim population next two day small ottoman garrison retreat southern side lake knowing number would never justify territorial ambition armenian looked russia europe fulfillment aim armenian treachery regard culminated beginning first world war decision revolutionary organization refuse serve state ottoman empire assist instead invading russian army hope participation russian success would rewarded independent armenian state carved ottoman territory armenian political leader army officer common soldier began deserting drove russian invasion eastern anatolia beginning world war degree armenian collaboration ottoman enemy increased drastically ottoman supply line cut guerilla attack armenian revolutionary armed armenian civil population turn massacred muslim population province van anticipation expected arrival invading russian army serdar argic,talk.politics.mideast,religion
160,"What 4 or more com port boards are available for PCs?  
We want standard com ports, so no need to mention the expensive
coprocessed ones.

They should either be able to share IRQs or be able to use IRQs 8-15.",3,com port board available pc want standard com port need mention expensive coprocessed one either able share irqs able use irqs,comp.sys.ibm.pc.hardware,computers
